	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4
'4	5.4	6.0	4.6	3.1	2.5	4.5	2.4	1.9	3.2	2.4	4.2	2.6	4.5	2.0	6.2	2.3	3.8	5.5	2.0	2.1	1.8	2.6	2.2	4.4	1.8	4.8	2.1	1.0	0.9	1.4	5.5	2.8	1.7	1.6	1.5	2.2
'5	3.5	3.6	2.9	1.7	1.7	3.5	0.9	0.6	2.2	1.3	3.0	1.4	2.9	0.9	4.3	1.9	2.7	3.7	0.9	0.7	0.9	1.1	1.0	2.5	1.2	2.8	1.1	0.5	0.6	0.9	3.4	0.9	0.8	1.3	1.1	1.3
'6	3.1	2.7	1.8	0.8	1.0	2.3	0.9	0.9	2.0	1.1	2.1	1.1	2.1	0.8	3.1	1.0	1.8	2.9	0.8	0.8	0.5	0.9	0.8	1.8	0.6	2.2	0.7	0.5	0.9	0.6	1.9	0.5	0.6	0.7	1.0	0.9
'7	2.6	1.8	2.5	0.9	1.5	2.1	0.3	0.2	1.3	0.6	1.9	0.8	1.7	0.4	2.7	0.6	1.0	1.7	0.4	0.1	0.3	0.5	0.3	1.5	0.7	1.9	0.4	0.1	0.2	0.4	1.7	0.4	0.4	0.7	0.3	0.3
'8	2.1	1.5	1.7	0.6	1.0	1.2	0.2	0.3	1.4	0.9	1.2	1.2	1.1	0.3	2.2	0.8	1.2	1.2	0.2	0.4	0.1	0.7	0.6	1.0	0.4	1.8	0.4	0.3	0.1	0.1	1.1	0.1	0.2	0.5	0.6	0.4
'9	2.0	1.3	1.4	0.7	0.9	1.6	0.4	0.1	1.1	0.2	1.2	0.3	0.7	0.3	1.4	0.7	1.7	1.1	0.2	0.0	0.1	0.5	0.3	0.5	0.5	1.0	0.2	0.0	0.3	0.0	1.1	0.5	0.5	0.8	0.0	0.3
'10	1.4	0.9	1.3	0.2	1.0	1.1	0.3	0.6	0.8	1.0	1.1	0.4	0.3	0.3	1.2	0.1	0.8	1.0	0.2	0.4	0.4	0.7	0.0	1.1	0.6	0.8	0.1	0.2	0.0	0.0	0.6	0.4	0.0	0.4	0.5	0.0
11-15	5.6	3.8	3.8	1.8	1.6	4.6	0.8	0.8	1.7	1.8	3.4	2.5	3.6	1.4	4.0	1.2	3.5	2.9	0.9	0.8	0.5	1.6	1.0	3.0	1.2	3.5	1.1	0.2	0.0	0.6	3.2	1.0	1.1	0.7	2.0	1.1
16-20	3.0	1.7	2.6	1.3	1.9	2.7	0.7	0.4	1.3	0.6	2.6	1.9	2.2	0.4	2.3	0.9	2.0	1.8	0.0	0.0	0.0	0.2	0.2	2.0	1.3	3.0	0.8	0.3	0.8	0.0	1.5	1.3	0.5	1.0	1.3	1.1
21-50	7.4	4.5	7.6	2.1	5.1	7.2	0.8	0.3	5.8	1.0	6.0	2.7	4.8	1.1	6.1	1.6	5.0	3.2	0.6	0.7	0.0	0.8	0.0	3.8	1.6	6.0	0.0	0.0	0.6	0.0	4.4	0.9	0.4	7.5	3.1	4.3
51-100	4.0	1.8	4.1	1.1	0.7	3.8	0.0	0.7	2.5	0.0	2.6	1.3	1.4	0.0	2.2	0.6	2.2	1.4	0.0	0.0	0.0	0.0	0.0	0.7	1.1	1.9	0.0	0.0	0.0	0.0	2.5	0.0	0.0	3.6	4.1	1.1
101-150	1.7	0.0	0.4	0.0	0.0	1.5	0.0	0.0	0.6	0.0	0.7	0.0	0.6	1.3	0.8	1.1	1.4	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	1.4	0.0
151-200	1.3	0.5	0.8	0.0	0.0	0.0	0.0	0.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	1.4	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.7	0.0	0.0	0.0	0.0	1.1	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
