Orthogroup	10D	13G	16Ckin	Angomonas_deanei	Azumiobodo_hoyamushi	BABKIN	Blastocrithidia_nonstop	Blechomonas_ayalai	Bodo_saltans	Crithidia_fasciculata	Cruzella_marina	Cryptobia_borreli	D44	Endotrypanum_monterogeii	G65133	Gemkin	INUKIN	KUCKIN	Leishmania_infantum	Leishmania_major_strain_Friedlin	Leishmania_orientalis	Leptomonas_pyrrhocoris	Leptomonas_seymouri_BHU1095	Neobodo_designis	Novymonas_esmeraldas	OB23	Paratrypanosoma_confusum	Phytomonas_sp._EM1	Phytomonas_sp._Hart1	Porcisia_hertigi	RhMon	Strigomonas_culicis	Trypanosoma_brucei_gambiense_DAL972	Trypanosoma_congolense_IL3000	Trypanosoma_cruzi_CLBrenerEsmeraldo-like	Trypanosoma_grayi_ANR4	Total
OG0000093	170	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171
OG0000094	169	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171
OG0000095	9	9	10	4	3	8	3	3	6	3	2	3	8	3	8	7	8	12	3	3	2	3	3	8	3	7	3	3	3	3	3	3	3	3	3	3	171
OG0000096	18	11	9	5	3	9	1	2	8	2	12	3	5	1	13	3	7	13	2	1	2	5	1	6	2	7	1	1	1	1	9	0	2	1	1	2	170
OG0000097	5	5	4	5	1	5	5	6	5	4	5	4	5	5	8	4	5	6	5	5	5	5	5	5	4	4	4	4	3	4	6	4	6	5	4	5	170
OG0000098	56	50	43	0	0	1	0	0	2	0	0	0	0	0	1	3	0	2	0	0	0	0	0	2	0	7	0	0	0	0	1	0	0	0	0	0	168
OG0000099	17	15	9	1	4	19	0	1	8	0	6	2	11	0	10	3	9	15	0	0	0	0	0	6	0	9	1	0	0	0	14	1	2	2	0	2	167
OG0000100	35	8	1	3	28	2	4	2	5	3	6	6	3	3	2	2	1	3	2	2	1	2	1	3	3	7	2	1	1	4	6	4	2	4	1	2	165
OG0000101	0	0	0	8	0	0	1	2	0	19	0	0	0	10	0	0	0	0	21	29	8	13	8	0	33	0	0	0	0	6	1	0	0	0	0	5	164
OG0000102	8	12	14	1	2	9	1	1	3	3	10	1	7	2	12	6	4	15	2	2	2	2	2	7	3	11	2	1	1	2	9	1	1	1	1	2	163
OG0000103	29	32	84	0	0	0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	162
OG0000104	0	0	81	0	0	7	0	0	1	0	15	0	2	0	6	4	13	2	0	0	0	0	0	4	0	27	0	0	0	0	0	0	0	0	0	0	162
OG0000105	9	11	7	2	2	8	1	2	7	2	8	4	6	2	9	8	6	12	2	2	2	2	2	7	2	8	2	1	1	2	15	1	1	1	2	2	161
OG0000106	11	13	11	0	2	8	0	1	6	1	5	0	7	0	11	7	9	26	1	1	1	1	1	12	1	9	1	0	0	1	11	1	0	0	1	1	161
OG0000107	12	8	7	2	3	5	3	5	7	3	4	2	5	3	5	5	5	10	3	3	3	3	3	6	3	6	3	2	2	3	12	1	3	3	3	4	160
OG0000108	1	0	1	17	0	0	8	8	0	10	0	0	1	7	0	0	0	1	8	8	7	10	9	1	8	0	7	5	6	8	2	9	5	5	2	6	160
OG0000109	7	6	7	4	2	5	4	3	6	3	2	0	8	4	10	5	7	4	4	4	4	4	4	8	4	6	3	3	3	5	2	4	3	3	2	3	156
OG0000110	11	10	7	3	2	3	4	4	7	3	5	1	4	3	5	2	3	11	3	3	3	3	3	2	3	10	3	4	3	3	11	3	2	2	3	3	155
OG0000111	3	5	6	1	2	13	3	2	4	3	4	5	7	3	18	6	14	6	3	3	3	3	3	4	2	7	3	2	2	3	1	0	3	2	2	4	155
OG0000112	27	22	7	1	1	7	0	0	2	1	14	0	11	1	10	3	4	11	0	0	1	1	0	9	1	14	0	0	0	1	2	3	0	0	0	0	154
OG0000113	3	19	10	0	0	0	0	0	1	0	0	0	53	0	0	0	0	7	0	0	0	0	0	1	0	22	0	0	0	0	38	0	0	0	0	0	154
OG0000114	0	0	0	0	0	0	0	0	153	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154
OG0000115	8	6	14	1	4	5	3	1	7	10	2	1	8	3	5	5	8	7	2	2	3	9	5	5	3	5	1	1	1	3	3	1	3	2	1	5	153
OG0000116	8	7	7	3	7	7	2	1	7	3	3	1	10	2	10	6	6	7	2	3	3	3	3	7	3	8	2	0	1	2	9	0	2	2	2	4	153
OG0000117	1	1	3	8	5	2	4	6	4	8	2	0	2	7	3	1	2	1	6	6	5	8	5	2	7	3	5	4	4	5	5	7	4	5	6	6	153
OG0000118	6	6	8	3	0	6	1	2	10	2	8	3	6	2	5	5	6	10	3	3	3	3	3	7	1	7	5	1	1	3	6	2	3	2	3	5	150
OG0000119	11	3	5	3	0	5	3	3	4	4	8	1	6	4	5	3	6	8	4	4	4	4	4	5	4	5	5	3	3	2	5	3	2	2	4	5	150
OG0000120	13	16	12	0	1	21	0	0	4	0	12	0	14	0	4	2	16	12	0	0	0	0	0	3	0	16	0	0	0	0	3	0	0	0	0	0	149
OG0000121	7	6	8	4	2	5	4	3	2	6	2	0	5	4	9	3	2	6	4	4	3	5	4	7	4	7	2	3	3	4	5	3	3	3	1	4	147
OG0000122	32	18	6	0	2	9	0	0	1	0	9	0	8	0	16	3	8	8	0	0	0	0	0	9	0	5	0	0	0	0	12	0	0	0	0	0	146
OG0000123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	146
OG0000124	142	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
OG0000125	6	6	6	4	3	5	3	4	5	3	3	2	5	4	5	5	4	8	4	4	4	4	4	5	4	5	4	3	1	4	4	2	3	3	3	3	145
OG0000126	1	1	0	0	0	0	0	0	2	0	0	0	0	0	3	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145
OG0000127	9	7	9	2	1	8	2	2	1	2	1	2	5	4	12	8	7	12	2	1	2	2	1	5	2	11	0	2	2	2	5	3	2	2	2	3	143
OG0000128	8	7	6	4	1	4	2	2	6	4	2	1	5	4	7	3	3	8	4	4	4	4	4	7	4	6	2	2	3	2	6	4	3	3	2	2	143
OG0000129	9	7	4	8	2	3	4	3	2	8	5	1	4	5	4	1	4	1	5	5	5	6	5	4	5	2	4	2	3	5	3	4	2	1	3	3	142
OG0000130	6	5	5	4	2	4	4	0	4	4	4	0	7	4	7	4	5	5	4	4	4	4	4	6	3	5	5	4	4	4	7	3	0	0	3	4	142
